"URL","Title","Rating","Num_Rating","Category","Address","Closed_Time","Image"
"","","","","","","",""
"https://www.google.com/maps/place/Souvenir+Toko/data=!4m7!3m6!1s0x2e708c9bf7638525:0x8618001e082b5228!8m2!3d-7.0002851!4d110.4305142!16s%2Fg%2F1pzskgznt!19sChIJJYVj95uMcC4RKFIrCB4AGIY?authuser=0&hl=id&rclk=1","Souvenir Toko","3,8","(4)","Toko Suvenir","Jl. Wonodri Krajan 3 No.6","⋅ Buka pukul 10.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vgLYSDShh6WJZ8nWGP9l4A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=64.3672&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Souvenir+Promosi+Murah/data=!4m7!3m6!1s0x2e708c85b7f300e1:0x13257facd05494fe!8m2!3d-7.0087921!4d110.4361038!16s%2Fg%2F11d_tzhgrv!19sChIJ4QDzt4WMcC4R_pRU0Kx_JRM?authuser=0&hl=id&rclk=1","Souvenir Promosi Murah","4,9","(9)","Toko Suvenir","Jl. Sompok Baru No.106","⋅ Buka pukul 08.00","https://lh5.googleusercontent.com/p/AF1QipOQBAEhBvX5Cj1ri0badc5LjzDobHtI4WhuSh7F=w131-h92-k-no"
"https://www.google.com/maps/place/Tom+Souvenir+Semarang/data=!4m7!3m6!1s0x2e708c9cda8f7e9d:0x5c8927e85cef749e!8m2!3d-7.0046776!4d110.4298934!16s%2Fg%2F11bc7p7_fj!19sChIJnX6P2pyMcC4RnnTvXOgniVw?authuser=0&hl=id&rclk=1","Tom Souvenir Semarang","","","Toko Suvenir","Jl. Sriwijaya No.112","⋅ Buka pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipN3labdAA4g6-tp15Mwj9BHKdUl_WXJYXHDjk0j=w80-h106-k-no"
"https://www.google.com/maps/place/Souvenir+Unik+Semarang/data=!4m7!3m6!1s0x2e708b6045c2c49b:0xa2d01fd42414effd!8m2!3d-6.9972514!4d110.4240969!16s%2Fg%2F11hbsj3fml!19sChIJm8TCRWCLcC4R_e8UJNQf0KI?authuser=0&hl=id&rclk=1","Souvenir Unik Semarang","4,8","(5)","Toko Suvenir","Jl. Kertanegara III No.5","","https://lh5.googleusercontent.com/p/AF1QipOWJHh3wlUXhw4f6pvumYexmXjc0Pg1__U38agT=w92-h92-k-no"
"https://www.google.com/maps/place/AURA+SOUVENIR/data=!4m7!3m6!1s0x2e708de72b99bd2b:0x4ce59cdc4ccbe820!8m2!3d-7.010819!4d110.4445609!16s%2Fg%2F11g0h_281b!19sChIJK72ZK-eNcC4RIOjLTNyc5Uw?authuser=0&hl=id&rclk=1","AURA SOUVENIR","4,7","(26)","Toko Suvenir Pernikahan","Jl. Cerme Raya No.17a","⋅ Buka pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipNzOnes9eWOQH8j5ITbS5KJb62svn_R3ZoQDBVO=w129-h92-k-no"
"https://www.google.com/maps/place/Briliant+souvenir+semarang/data=!4m7!3m6!1s0x2e708dbf62475f03:0x63770e4c9d2f4ef6!8m2!3d-7.0031384!4d110.4325443!16s%2Fg%2F11hf95st0x!19sChIJA19HYr-NcC4R9k4vnUwOd2M?authuser=0&hl=id&rclk=1","Briliant souvenir semarang","4,1","(35)","Toko Suvenir Pernikahan","Jl. MT. Haryono No.731","⋅ Buka pukul 10.00","https://lh5.googleusercontent.com/p/AF1QipOXGQ8nZV8ir7IqYoP2l7tZ_3klIVKhnpb_2pRu=w122-h92-k-no"
"https://www.google.com/maps/place/Souvenir+Pandanaran/data=!4m7!3m6!1s0x2e708b78cc185919:0xd439891d0588b3e4!8m2!3d-6.9864028!4d110.413091!16s%2Fg%2F11f779b9zx!19sChIJGVkYzHiLcC4R5LOIBR2JOdQ?authuser=0&hl=id&rclk=1","Souvenir Pandanaran","5,0","(3)","Toko Pakaian","Jl. Pandanaran No.55","⋅ Buka pukul 08.00","https://lh5.googleusercontent.com/p/AF1QipPPmrnzlMAo39AufAmwJt1H1L9tIrctBsAXS_Qw=w80-h120-k-no"
"https://www.google.com/maps/place/Melva+Handycraft/data=!4m7!3m6!1s0x2e708d8c3fc048db:0xf9148eea7e20097f!8m2!3d-6.998589!4d110.4296484!16s%2Fg%2F11h4zkwr3g!19sChIJ20jAP4yNcC4RfwkgfuqOFPk?authuser=0&hl=id&rclk=1","Melva Handycraft","","","Toko Suvenir Pernikahan","Jalan singosari 2A Rt01 Rw 13 No.11B","⋅ Buka Sen pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipOKlJ04Hi8bNzXNsedVOhW4CpGdztm_ljCLl2fE=w80-h106-k-no"
"https://www.google.com/maps/place/Danis+Souvenir/data=!4m7!3m6!1s0x2e708b48d277cad9:0x9e1bb9fe42cb7746!8m2!3d-6.984266!4d110.40809!16s%2Fg%2F11g8lrkx8p!19sChIJ2cp30kiLcC4RRnfLQv65G54?authuser=0&hl=id&rclk=1","Danis Souvenir","","","Toko Suvenir","Pasar Bulu Baru Lantai 3 No 40, Jalan Mgr Soegiyopranoto","⋅ Buka pukul 09.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6tgHTsM_lM1-q-ORoiya1Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=270.32535&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Toko+Buket,+Souvenir,+Kado+dan+Mahar+Semarang+%28Edelweiss+Handycraft+Gallery%29/data=!4m7!3m6!1s0x2e708d7499306e3d:0x153ffeac2f58db70!8m2!3d-7.0047814!4d110.4477783!16s%2Fg%2F11scs5917c!19sChIJPW4wmXSNcC4RcNtYL6z-PxU?authuser=0&hl=id&rclk=1","Toko Buket, Souvenir, Kado dan Mahar Semarang (Edelweiss Handycraft Gallery)","5,0","(90)","Toko Bunga","Jl. Lamper Tengah IX No.18, RT.06/RW.01","","https://lh5.googleusercontent.com/p/AF1QipP28f4hEE9zOPsaX64nAvNOocQniH29Y4MIFbeK=w199-h92-k-no"
"https://www.google.com/maps/place/Buana+Souvenir/data=!4m7!3m6!1s0x2e708b48de5edf7b:0x8fc5e0a5f8eb2d57!8m2!3d-6.9839254!4d110.4070016!16s%2Fg%2F11dz_xdvtd!19sChIJe99e3kiLcC4RVy3r-KXgxY8?authuser=0&hl=id&rclk=1","Buana Souvenir","5,0","(1)","Toko Suvenir Pernikahan","Pasar Bulu Lantai 3 No.34 Jl Mgr Soegiyopranoto","⋅ Buka pukul 10.00","https://lh5.googleusercontent.com/p/AF1QipOiRmRvbqn5r-tU7l6dNBWT2acq5eirLaZMTP7f=w80-h133-k-no"
