Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
lavish souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kRtf-CTFnVsrBHVkHxqRog&cb_client=search.gws-prod.gps&w=80&h=92&yaw=15.156679&pitch=0&thumbfov=100,https://www.google.com/maps/place/lavish+souvenir/data=!4m7!3m6!1s0x2e708bc8b27a385b:0xd16cab4e0e5fd90!8m2!3d-6.9782996!4d110.4257291!16s%2Fg%2F11k9gy0vgz!19sChIJWzh6ssiLcC4RkP3l4LTKFg0?authuser=0&hl=id&rclk=1,,,Toko Suvenir,Jl. Wotgandul Timur No.19,
Souvenir Khas Semarang Ikikuwi,https://lh5.googleusercontent.com/p/AF1QipMAnMdQzaAtJwGP1CKQnKl-X5zobSnkEyetI9Lz=w92-h92-k-no,https://www.google.com/maps/place/Souvenir+Khas+Semarang+Ikikuwi/data=!4m7!3m6!1s0x2e708b406f990055:0x615b13cbb1faa56a!8m2!3d-6.978087!4d110.415104!16s%2Fg%2F11cjj1qwlw!19sChIJVQCZb0CLcC4RaqX6scsTW2E?authuser=0&hl=id&rclk=1,"4,4",102,Toko Suvenir,Jl. Kapten Piere Tendean No.12,Buka pukul 09.00
Briliant Souvenir,https://lh5.googleusercontent.com/p/AF1QipNI_RYRheuWg0wS0oQduQZYlf1eBC1KmFnPXGOL=w80-h142-k-no,https://www.google.com/maps/place/Briliant+Souvenir/data=!4m7!3m6!1s0x2e70f3567cf117af:0x2adb703f3ec51f26!8m2!3d-6.9694579!4d110.4289812!16s%2Fg%2F11hcw6__7q!19sChIJrxfxfFbzcC4RJh_FPj9w2yo?authuser=0&hl=id&rclk=1,"4,9",33,Toko Suvenir,Kelurahan Jl. Sendowo No.27,Buka pukul 09.30
Toko Oleh oleh & Souvenir Gondes khas SEMARANG,https://lh5.googleusercontent.com/p/AF1QipNqgSbDZ0LCFWbZa2vFX5l1wTbfueP0S5mtzmJi=w86-h92-k-no,https://www.google.com/maps/place/Toko+Oleh+oleh+%26+Souvenir+Gondes+khas+SEMARANG/data=!4m7!3m6!1s0x2e70f31828496849:0x1c5d9854e266f3c7!8m2!3d-6.9721199!4d110.4282087!16s%2Fg%2F11fs9mdp1s!19sChIJSWhJKBjzcC4Rx_Nm4lSYXRw?authuser=0&hl=id&rclk=1,"4,8",4,Toko Suvenir,Jl. Pekojan No.14,Buka pukul 10.00
Souvenir & Mahar Mbak Iin,https://lh5.googleusercontent.com/p/AF1QipN74AfaHBfivukhnjHyQI33acemIakw8Tqki66S=w122-h92-k-no,https://www.google.com/maps/place/Souvenir+%26+Mahar+Mbak+Iin/data=!4m7!3m6!1s0x2e70f5b730c85843:0x8f6b7890b910b9ea!8m2!3d-6.9724711!4d110.4247072!16s%2Fg%2F11rtcr3sy5!19sChIJQ1jIMLf1cC4R6rkQuZB4a48?authuser=0&hl=id&rclk=1,"5,0",1,Toko Suvenir Pernikahan,Pasar Johar Lama Tengah No. 163,Buka pukul 08.30
Norton Jaya Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jdXj8EZWWcRnDA3atK9ahw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=263.17078&pitch=0&thumbfov=100,https://www.google.com/maps/place/Norton+Jaya+Souvenir/data=!4m7!3m6!1s0x2e708b52c9f33c2f:0xbe0f14e199084b72!8m2!3d-6.9760106!4d110.41587!16s%2Fg%2F1pzvzlkwl!19sChIJLzzzyVKLcC4RcksImeEUD74?authuser=0&hl=id&rclk=1,,,Toko Suvenir,"JL. Tanjung, No. 43, Kudus dan Taman Oleander B2/37, 50322",Buka pukul 09.00
Azzahra Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jXOXvl-tEqe11ni1SDgqsg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=6.1086664&pitch=0&thumbfov=100,https://www.google.com/maps/place/Azzahra+Souvenir/data=!4m7!3m6!1s0x2e70f4aa13dee27d:0x118a71b0c29228a0!8m2!3d-6.971132!4d110.4252!16s%2Fg%2F11dftpc94c!19sChIJfeLeE6r0cC4RoCiSwrBxihE?authuser=0&hl=id&rclk=1,"5,0",2,Toko Suvenir,"2CHG+G3W Matahari johar, Jl. K.H. Agus Salim",Buka pukul 10.00
Pine Cone Souvenir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jmvBz3y8hENr897Gf-XllQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=27.335484&pitch=0&thumbfov=100,https://www.google.com/maps/place/Pine+Cone+Souvenir/data=!4m7!3m6!1s0x2e708b58f5463f51:0x300ee281f043a4c2!8m2!3d-6.9873939!4d110.4240978!16s%2Fg%2F1ptxd9204!19sChIJUT9G9ViLcC4RwqRD8IHiDjA?authuser=0&hl=id&rclk=1,"5,0",2,Toko Suvenir,Jl. Anggrek VII No.8,
Toko Mukti [ Mukti Souvenir ],https://lh5.googleusercontent.com/p/AF1QipMOEpMQfZA6ydJI5xmZq5z09B9SUgzVomThW6C3=w80-h142-k-no,https://www.google.com/maps/place/Toko+Mukti+%5B+Mukti+Souvenir+%5D/data=!4m7!3m6!1s0x2e70f4aa6a57f89b:0x50e33add409d8b3b!8m2!3d-6.9727117!4d110.4232515!16s%2Fg%2F11bc7r5_q2!19sChIJm_hXaqr0cC4RO4udQN0641A?authuser=0&hl=id&rclk=1,"4,8",4,Toko Suvenir,utara bawah Jl. Ps. Johar No.180 & 186,Buka pukul 10.00
Toko sunan pandanaran,https://lh5.googleusercontent.com/p/AF1QipObih-205n7gDeokrdZvd7OwUT1tKNItEpi6QsG=w80-h173-k-no,https://www.google.com/maps/place/Toko+sunan+pandanaran/data=!4m7!3m6!1s0x2e70f4aae63bb039:0x8cf3386608fd2cdd!8m2!3d-6.9722438!4d110.4229654!16s%2Fg%2F11dymbmjts!19sChIJObA75qr0cC4R3Sz9CGY484w?authuser=0&hl=id&rclk=1,,,Toko Suvenir,Jalan alun-alun barat 11. Kel. Bangunharjo. Kec. Semarang tengah,
