"URL","Title","Rating","Num_Rating","Category","Address","Closed_Time","Image"
"","","","","","","",""
"https://www.google.com/maps/place/Toko+Souvenir+:+Kraskress_craft/data=!4m7!3m6!1s0x2e70618243313a61:0xd3fa30afcbe06cc9!8m2!3d-6.9955139!4d110.3248357!16s%2Fg%2F11gmg5y2v8!19sChIJYToxQ4JhcC4RyWzgy68w-tM?authuser=0&hl=id&rclk=1","Toko Souvenir : Kraskress_craft","5,0","(1)","Toko","283F+QWW, Jl. Bukit Beringin Tim. IV","⋅ Buka Sab pukul 07.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W2oMupw_Wk7yMmPCfbwiVA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=313.138&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Bintang+Souvenir/data=!4m7!3m6!1s0x2e706025e275b787:0x8165c165927413a7!8m2!3d-7.0094411!4d110.3250314!16s%2Fg%2F11f3vnm3zf!19sChIJh7d14iVgcC4RpxN0kmXBZYE?authuser=0&hl=id&rclk=1","Bintang Souvenir","4,5","(12)","Toko Perlengkapan Rumah","0856-0006-3942","⋅ Buka Sab pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipNibA-U5KsYBomLPts_PcJW7JgoR-u9FzjpjMtW=w92-h92-k-no"
"https://www.google.com/maps/place/Fun+Souvenir/data=!4m7!3m6!1s0x2e708b6a90b4553f:0x1f6c35f2ac065f16!8m2!3d-6.995642!4d110.3637343!16s%2Fg%2F11f0l395yr!19sChIJP1W0kGqLcC4RFl8GrPI1bB8?authuser=0&hl=id&rclk=1","Fun Souvenir","4,7","(23)","Toko Suvenir Pernikahan","Jl. Srikaton Bar. II No.37","⋅ Buka Sab pukul 08.30","https://lh5.googleusercontent.com/p/AF1QipOccJNNqZVZsp4dyXRZZ0TNXuFRlknV0JOvM43J=w163-h92-k-no"
"https://www.google.com/maps/place/Danadyaksa+Souvenir/data=!4m7!3m6!1s0x2e706103f9ec7f01:0x4c17133cbcb5acb0!8m2!3d-6.9846136!4d110.3255232!16s%2Fg%2F11qp0l66f1!19sChIJAX_s-QNhcC4RsKy1vDwTF0w?authuser=0&hl=id&rclk=1","Danadyaksa Souvenir","5,0","(1)","Toko Suvenir Pernikahan","Jl. Beringin Asri No.1160, RT.04/RW.12","","https://lh5.googleusercontent.com/p/AF1QipM9NbSna049ldNTXKnYBbheWdLRDw54Al-pqlWH=w92-h92-k-no"
"https://www.google.com/maps/place/Susi+Souvenir/data=!4m7!3m6!1s0x2e708b281739f24d:0x673d277205388f9f!8m2!3d-7.0170881!4d110.3866744!16s%2Fg%2F11f5mpjxdd!19sChIJTfI5FyiLcC4Rn484BXInPWc?authuser=0&hl=id&rclk=1","Susi Souvenir","5,0","(4)","Toko Suvenir Pernikahan","X9MP+5M7","⋅ Buka Sab pukul 09.00","https://lh5.googleusercontent.com/p/AF1QipPsfQPy2_GalTLj49SDy3rN_k4GEri0LuXwndnA=w122-h92-k-no"
"https://www.google.com/maps/place/Doha+Oleh+Oleh+Timur+Tengah/data=!4m7!3m6!1s0x2e708b021436d15f:0x69f8bd51fe7a43a9!8m2!3d-7.0119617!4d110.3798121!16s%2Fg%2F11dyn9dhzw!19sChIJX9E2FAKLcC4RqUN6_lG9-Gk?authuser=0&hl=id&rclk=1","Doha Oleh Oleh Timur Tengah","4,4","(5)","Toko Suvenir","Jalan Untung Suropati No.4, Kembang Arum, Semarang Barat","⋅ Buka Sab pukul 08.00","https://lh5.googleusercontent.com/p/AF1QipNnGqBs5Twm3DT6bvPAeYrprfPvHK5J9NKCL9Cj=w163-h92-k-no"
"https://www.google.com/maps/place/Unyu+Craft+Souvenir/data=!4m7!3m6!1s0x2e708ac32998063d:0x4754a51abae6f6a!8m2!3d-6.9953734!4d110.3661633!16s%2Fg%2F11cjhr3yxm!19sChIJPQaYKcOKcC4Ram-uq1FKdQQ?authuser=0&hl=id&rclk=1","Unyu Craft Souvenir","5,0","(2)","Toko","2938+VF3","","https://lh5.googleusercontent.com/p/AF1QipNxseS6Ob7wLNgmeb_ipJWglnqhXzqwR1haGQ6C=w92-h92-k-no"
"https://www.google.com/maps/place/CV.nudeygroup/data=!4m7!3m6!1s0x2e708b92d46d47c9:0x4621334ec6683643!8m2!3d-7.0109791!4d110.3722789!16s%2Fg%2F11t9jkj3pj!19sChIJyUdt1JKLcC4RQzZoxk4zIUY?authuser=0&hl=id&rclk=1","CV.nudeygroup","","","Toko Suvenir","Jl. Candi Tembaga Selatan I No.771","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fT8UYCOzjk_49ZbwCIYtWA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=57.188503&pitch=0&thumbfov=100"
"https://www.google.com/maps/place/Kampung+Suvenir/data=!4m7!3m6!1s0x2e708ac89d76754f:0x48535b85395c3aaf!8m2!3d-6.9882116!4d110.3586206!16s%2Fg%2F11h9wknck0!19sChIJT3V2nciKcC4RrzpcOYVbU0g?authuser=0&hl=id&rclk=1","Kampung Suvenir","4,8","(4)","Toko Aksesori Pakaian","2965+PC9, Jl. Segaran II","⋅ Buka Sab pukul 18.00","https://lh5.googleusercontent.com/p/AF1QipOc9KWc9Si19I1cnAGGRxcafLlKhRH9kopPu9eY=w122-h92-k-no"
